CIUDAD;DEPARTAMENTO;ACUERDO DE OBRA;INSTITUCIÓN EDUCATIVA;FECHA INICIO F1;TIPO DE INTERVENCION;FECHA FIN F1;VALOR INICIAL F1;VALOR ADICIONADO REAL F1;VALOR FACTURADO REAL FASE 1;PLAZO FASE 1;FECHA FIN ULTIMO PRODUCTO F1;FECHA RADICACIÓN LICENCIA;FECHA EXPEDICIÓN LICENCIA;DIFERENCIA;DIF_TRASLA;FECHA ORDEN DE INICIO F2;PLAZO FASE OBRA (F2);VALOR INICIAL F2;VALOR ADICIONADO REAL F2;VALOR FACTURADO REAL F2;FECHA FIN F2 REAL;ESTADO ACTUAL F1;ESTADO ACTUAL F2;COMENTARIOS;AVANCE FASE 1;AVANCE FASE 2;PAGO ETAPA 1 F2;PAGO ETAPA 2 F2;PAGO ETAPA 3 F2;PAGO ETAPA 4 F2;PAGO ETAPA 5 F2;FECHA INI REAL F2 ETAPA 1;FECHA INI REAL F2 ETAPA 2;FECHA INI REAL F2 ETAPA 3;FECHA INI REAL F2 ETAPA 4;FECHA INI REAL F2 ETAPA 5;PLAZO ETAPA 1 F2;PLAZO ETAPA 2 F2;PLAZO ETAPA 3 F2;PLAZO ETAPA 4 F2;PLAZO ETAPA 5 F2;SUSPENSION TOTAL F2 ETAPA 1;SUSPENSION TOTAL F2 ETAPA 2;SUSPENSION TOTAL F2 ETAPA 3;SUSPENSION TOTAL F2 ETAPA 4;SUSPENSION TOTAL F2 ETAPA 5;PRORROGA TOTAL F2 ETAPA 1;PRORROGA TOTAL F2 ETAPA 2;PRORROGA TOTAL F2 ETAPA 3;PRORROGA TOTAL F2 ETAPA 4;PRORROGA TOTAL F2 ETAPA 5;AVANCE F2 ETAPA 1;AVANCE F2 ETAPA 2;AVANCE F2 ETAPA 3;AVANCE F2 ETAPA 4;AVANCE F2 ETAPA 5
Boavita;Boyacá;406045;Técnico Industrial Mariscal Sucre;30/08/2017;Nuevo;15/12/2017;7129775;0;;3.5;;19/04/2018;22/05/2018;;;;7;102191241;0;;;Iniciado;No iniciado;;0.901;0;11241036.51;50993429.26;8175299.28;22993029.23;8788446.726;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Oiba;Santander;406063;IE Normal Superior . Sede Principal;21/11/2017;Nuevo;8/03/2018;31352178;0;;3.5;;27/04/2018;;;;;12;368235805;0;;;Iniciado;No iniciado;;0.613;0;40505938.55;183749666.7;29458864.4;82853056.13;31668279.23;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Bolivar;Santander;406048;Colegio Integrado Simón Bolivar;27/09/2017;Ampliación;12/12/2017;4687694;0;;2.5;;17/04/2018;15/05/2018;;;;7;70992446;0;;;Pendiente de licencia;No iniciado;Revisar el estado;1;0;7809169.06;35425230.55;5679395.68;15973300.35;6105350.356;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Tunja;Boyacá;406058;IE Normal Superior Santiago de Tunja - Sede Masculino;16/11/2017;Nuevo;3/03/2018;30228103;0;;3.5;;18/03/2018;;;;;12;291834729;0;;;Iniciado;No iniciado;;0.77325;0;32101820.19;145625529.8;23346778.32;65662814.03;25097786.69;;;;;;0;0;0;0;0;;;;;;;;;;;0;0;0;0;0
Ciénega;Boyacá;406038;José Cayetano Vásquez_2;28/07/2017;Nuevo;17/10/2017;6858572;0;;2.5;5/04/2018;24/11/2017;2/12/2017;-124;52;12/04/2018;7;102750230;0;;12/01/2019;Terminado;"Abandonado
";;1;0.265;11302525.3;51272364.77;8220018.4;23118801.75;8836519.78;1/03/2019;21/04/2018;5/05/2018;;;60;256;141;69;271;;;;;;;;;;;1;0.31014;0;0;0
Cubará;Boyacá;;IE Técnica Nacionalizada Pablo VI – Sede Escuela Indígena Casa del Saber Fátima (Cubará) ;;;;;0;;;;;;;;;;;0;;;Inviable;Sin información;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cubará;Boyacá;406040;IE Técnica Nacionalizada Pablo VI – Sede San Miguel - Primaria;2/08/2017;Nuevo;17/11/2017;9271042;0;;3.5;10/05/2018;;17/04/2018;-23;153;21/05/2018;8;124653924;0;;21/01/2019;Terminado;"Iniciado
";;1;0.4342;13711931.64;62202308.08;9972313.92;28047132.9;10720237.46;1/03/2019;24/11/2018;2/02/2019;;;142;211;196;115;356;;;;;;;;;;;1;0.09994;0;0;0.0768
Paya;Boyacá;;IE El Rosario – Sede Tocaría;;;;;0;;;;;;;;;;;0;;;Inviable;Sin información;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paya;Boyacá;;IE El Rosario – Sede Altamira ;;;;;0;;;;;;;;;;;0;;;Inviable;Sin información;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lebrija;Santander;;IE  La Victoria;;;;;0;;;;;;;;;;;0;;;Inviable;Sin información;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
